source_key,source_type,doi,patent_publication_number,patent_family_id,source_url,publication_year,journal_or_assignee,evidence_row_count,protocol_unit_count,variant_count,representative_pages,local_paths
10.1186/1754-6834-7-111,literature,10.1186/1754-6834-7-111,,,,2014,Biotechnology for Biofuels,3,3,3,,Article/耐甲醇相关脂肪酶文献/新录入/Improved-production-of-a-recombinant-Rhizomucor-miehei-lipase-expressed-in-Pichia-pastoris-and-its-application-for-conve.pdf
10.1186/s12896-015-0214-0,literature,10.1186/s12896-015-0214-0,,,,2015,BMC Biotechnology,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/A-novel-eurythermic-and-thermostale-lipase-LipM-from-Pseudomonas-moraviensis-M9-and-its-application-in-the-partial-hydro.pdf
10.1186/s13068-016-0501-6,literature,10.1186/s13068-016-0501-6,,,,2016,Biotechnology for Biofuels,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Expression-and-characterization-of-a-novel-1-3-regioselective-cold-adapted-lipase-from-Rhizomuc.pdf
10.1186/s13068-019-1509-5,literature,10.1186/s13068-019-1509-5,,,,2019,Biotechnology for Biofuels,2,2,2,LMT_PAGE_PML,Article/耐甲醇相关脂肪酶文献/新录入/Genetically-encoded-immobilized-lipase-2019-directed-evolution-biodiesel.pdf
10.1186/s13068-021-02087-6,literature,10.1186/s13068-021-02087-6,,,,2021,Biotechnology for Biofuels,91,14,7,LMT_PAGE_RML,Article/耐甲醇相关脂肪酶文献/人工下载/基于α螺旋区N-糖基化及其在生物柴油生产中的应用，提升了Rhizomucor miehei脂肪酶的甲醇耐受性.pdf
10.1186/s13568-018-0698-9,literature,10.1186/s13568-018-0698-9,,,,2018,AMB Express,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/A-novel-Serratia-sp.-ZS6-isolate-derived-from-petroleum-sludge-secretes-biosurfactant-and-lipase-in-medium-with-olive-oil-as-sole-carbon-source.pdf
10.1186/s13568-025-01966-7,literature,10.1186/s13568-025-01966-7,,,,2025,AMB Express,13,3,2,,Article/耐甲醇相关脂肪酶文献/新录入/Methanol-response-of-V171S-lipase-from-Geobacillus-sp-42-explored-via-experimental-and-in-silico-approaches.pdf
10.1186/s13765-021-00653-y,literature,10.1186/s13765-021-00653-y,,,,2021,Applied Biological Chemistry,2,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/从堆肥宏基因组文库中对具有R-形式对抗选择性的IV家族酯酶的生化表征.pdf
10.1186/s40643-017-0154-8,literature,10.1186/s40643-017-0154-8,,,,2017,Bioresources and Bioprocessing,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Green-synthesis-of-enzyme-metal-organic-framework-composites-with-high-stability-in-protein-denaturing-solvents.pdf
10.1186/s43141-021-00155-w,literature,10.1186/s43141-021-00155-w,,,,2021,Journal of Genetic Engineering and Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Expression-of-novel-acidic-lipase-from-Micrococcus-luteus-in-Pichia-pastoris-and-its-application-in-transesterification.pdf
10.1186/s43141-023-00611-9,literature,10.1186/s43141-023-00611-9,,,,2023,Journal of Genetic Engineering and Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Lipolytic-bacterium-tempeh-2023-acidic-lipase.pdf
10.1263/jbb.102.82,literature,10.1263/jbb.102.82,,,,2006,Journal of Bioscience and Bioengineering,3,2,1,,Article/耐甲醇相关脂肪酶文献/新增/从腐败矿物切割油中分离出的铜绿假单胞菌碱性脂肪酶的纯化与表征，作为金属工件的成分.pdf
10.1271/bbb.120733,literature,10.1271/bbb.120733,,,,2013,"Bioscience, Biotechnology, and Biochemistry",2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/An-Organic-Solvent-Tolerant-Alkaline-Lipase-from-Cold-Adapted-Pseudomonas-mandelii-Cloning-Expression-and-Characterizati.pdf
10.12988/asb.2013.3624,literature,10.12988/asb.2013.3624,,,,2013,Advances in Studies in Biology,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Organic-solvent-and-surfactant-tolerant-thermostable-lipase-isolated-from-a-thermophilic-bacter.pdf
10.1371/journal.pone.0023325,literature,10.1371/journal.pone.0023325,,,,2011,PLoS ONE,1,1,1,,Article/耐甲醇相关脂肪酶文献/新增/一种新型亲盐脂肪酶LipBL，在生产二次五戊酸（EPA）方面表现出高效率.pdf
10.1371/journal.pone.0047665,literature,10.1371/journal.pone.0047665,,,,2012,PLOS ONE,4,4,2,,Article/耐甲醇相关脂肪酶文献/新录入/The-Metagenome-Derived-Enzymes-LipS-and-LipT-Increase-the-Diversity-of-Known-Lipases.pdf
10.1371/journal.pone.0059376,literature,10.1371/journal.pone.0059376,,,,2013,PLOS ONE,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/An-Application-of-Wastewater-Treatment-in-a-Cold-Environment-and-Stable-Lipase-Production-of-Antarctic-Basidio.pdf
10.1371/journal.pone.0286091,literature,10.1371/journal.pone.0286091,,,,2023,PLOS ONE,3,3,3,,Article/耐甲醇相关脂肪酶文献/新录入/Fusarium-annulatum-FAL-2023-alkaline-organic-solvent-tolerant-lipase.pdf
10.1371/journal.pone.0314556,literature,10.1371/journal.pone.0314556,,,,2024,PLOS ONE,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Bacillus-licheniformis-IBRL-CHS2-2024-subfamily-14-methanol-stable-lipase.pdf
10.14393/bj-v38n0a2022-53865,literature,10.14393/bj-v38n0a2022-53865,,,,2022,Bioscience Journal,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Characterization-of-highly-stable-extracellular-lipase-from-the-extremely-halophilic-archaeon-Halolamina-sp..pdf
10.15171/ijb.1225,literature,10.15171/ijb.1225,,,,2015,Iranian Journal of Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Bacillus-sp-PS35-Lipase-Immobilization-on-Styrene-Divinyl-Benzene-Resin-and-Application-in-Fatty-Acid-Methyl-Ester.pdf
10.15174/au.2024.4153,literature,10.15174/au.2024.4153,,,,2024,Acta Universitaria,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Optimization-and-characterization-of-solvent-tolerant-lipases-from-Geobacillus-stearothermophilus-CHI1-2.pdf
10.15414/jmbfs.2016.5.6.602-605,literature,10.15414/jmbfs.2016.5.6.602-605,,,,2016,Journal of Microbiology Biotechnology and Food Sciences,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/PURIFICATION-AND-CHARACTERIZATION-OF-SOLVENT-STABLE-LIPASE-FROM-A-SOLVENT-TOLERANT-STRAIN-OF-GEOBACILLUS-STEAROTHERMOPHILUS-PS-11.pdf
10.1590/s1517-838246420141068,literature,10.1590/s1517-838246420141068,,,,2015,Brazilian Journal of Microbiology,3,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Gene-cloning-expression-and-characterization-of-the-Bacillus-amyloliquefaciens-PS35-lipase-3.pdf
10.1631/jzus.b1800213,literature,10.1631/jzus.b1800213,,,,2019,Journal of Zhejiang University-SCIENCE B,1,1,1,,Article/耐甲醇相关脂肪酶文献/人工下载/从酿馅馒头蒸锅中分离出的Aureobasidium pullulans细胞外脂肪酶的筛选、纯化和表征.pdf
10.20546/ijcmas.2016.511.079,literature,10.20546/ijcmas.2016.511.079,,,,2016,International Journal of Current Microbiology and Applied Sciences,2,2,2,,Article/耐甲醇相关脂肪酶文献/新录入/Characterization-of-Lipase-from-Wild-LPF-5-and-Mutant-HN1-Strain-of-Aspergillus-niger.pdf
10.22302/iribb.jur.mp.v93i2.633,literature,10.22302/iribb.jur.mp.v93i2.633,,,,2025,Menara Perkebunan,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Characterisation-of-novel-acidic-lipase-of-Corynebacterium-nuruki-PM2-from-palm-oil-mill-effluent-for-palm-oil-derivatis.pdf
10.22302/iribb.jur.mp.v93i2.673,literature,10.22302/iribb.jur.mp.v93i2.673,,,,2025,Menara Perkebunan,2,2,2,,Article/耐甲醇相关脂肪酶文献/新录入/Characterization-of-sn-1-3-extracellular-lipases-of-Aspergillus-niger-and-Rhizopus-oryzae-for-the-crude-palm-oil-hydrolysis.pdf
10.2306/scienceasia1513-1874.2011.37.105,literature,10.2306/scienceasia1513-1874.2011.37.105,,,,2011,ScienceAsia,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/10-2306-scienceasia1513-1874-2011-37-105.pdf
10.2306/scienceasia1513-1874.2014.40.327,literature,10.2306/scienceasia1513-1874.2014.40.327,,,,2014,ScienceAsia,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Immobilization-of-a-thermophilic-solvent-stable-lipase-from-Acinetobacter-baylyi-and-its-potential-for-use-in-biodiesel.pdf
10.25083/rbl/26.5/2994.3001,literature,10.25083/rbl/26.5/2994.3001,,,,2021,Romanian Biotechnological Letters,2,1,1,,Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/Purification and characterization of thermo-alkaline stable lipase.pdf
10.3389/fbioe.2020.00642,literature,10.3389/fbioe.2020.00642,,,,2020,Frontiers in Bioengineering and Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/A-Broad-Temperature-Active-Lipase-Purified-From-a-Psychrotrophic-Bacterium-of-Sikkim-Himalaya-With-Potential-A.pdf
10.3389/fbioe.2020.01034,literature,10.3389/fbioe.2020.01034,,,,2020,Frontiers in Bioengineering and Biotechnology,5,5,4,,Article/耐甲醇相关脂肪酶文献/新录入/Directed-Evolution-of-Pseudomonas-fluorescens-Lipase-Variants-With-Improved-Thermostability-Using-Error-P.pdf
10.3389/fmicb.2021.633489,literature,10.3389/fmicb.2021.633489,,,,2021,Frontiers in Microbiology,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Gene-Expression-Biochemical-Characterization-of-a-sn-1-3-Extracellular-Lipase-From-Aspergillus-niger-GZUF36-and-Its-Mode.pdf
10.3389/fmicb.2023.1270270,literature,10.3389/fmicb.2023.1270270,,,,2023,Frontiers in Microbiology,3,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Brevibacillus-SHI160-2023-thermostable-organic-solvent-tolerant-lipase.pdf
10.3390/catal12070761,literature,10.3390/catal12070761,,,,2022,Catalysts,60,5,5,LMT_PAGE_PML,Article/耐甲醇相关脂肪酶文献/Different Effects of Salt Bridges near the Active Site of.pdf
10.3390/fermentation10120595,literature,10.3390/fermentation10120595,,,,2024,Fermentation,2,2,2,,Article/耐甲醇相关脂肪酶文献/新录入/Hyphopichia-Yarrowia-2024-extracellular-lipases-organic-solvent-response.pdf
10.3390/ijms11093195,literature,10.3390/ijms11093195,,,,2010,International Journal of Molecular Sciences,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Staphylococcus_epidermidis_AT2_IJMS1193195.pdf
10.3390/ijms12106765,literature,10.3390/ijms12106765,,,,2011,International Journal of Molecular Sciences,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/A-Novel-Cold-Adapted-Lipase-from-Sorangium-cellulosum-Strain-So0157-2-Gene-Cloning-Expression-and-Enzymat.pdf
10.3390/ijms16034865,literature,10.3390/ijms16034865,,,,2015,International Journal of Molecular Sciences,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Biochemical-Properties-and-Structure-Analysis-of-a-DAG-Like-Lipase-from-Malassezia-globosa.pdf
10.3390/ijms18112202,literature,10.3390/ijms18112202,,,,2017,International Journal of Molecular Sciences,2,2,2,,Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/Directed Evolution of Recombinant C-Terminal Truncated Staphylococcus epidermidis Lipase AT2 for the Enhancement of Thermostability.pdf
10.3390/ijms19020560,literature,10.3390/ijms19020560,,,,2018,International Journal of Molecular Sciences,1,1,1,,Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/南极假单胞菌属中耐热脂肪酶生化和结构特征的N端结构域移除效应。菌株AMS3.pdf
10.3390/ijms19041129,literature,10.3390/ijms19041129,,,,2018,International Journal of Molecular Sciences,3,1,1,,Article/耐甲醇相关脂肪酶文献/新增/一种具有水解和合成活性的有机耐溶剂脂肪酶，来自油菌海苔菌（Mortierella echinosphaera）.pdf
10.3390/ijms20061264,literature,10.3390/ijms20061264,,,,2019,International Journal of Molecular Sciences,1,1,1,,Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/从南极西格尼岛分离出的新型重组冷适应有机溶剂耐受脂肪酶，源自亲性铜珠菌属LSK25.pdf
10.3390/ijms20102561,literature,10.3390/ijms20102561,,,,2019,International Journal of Molecular Sciences,4,4,4,,Article/耐甲醇相关脂肪酶文献/新录入/Changes-of-Thermostability-Organic-Solvent-and-pH-Stability-in-Geobacillus-zalihae-HT1-and-Its-Mutant-by-Calcium-Ion.pdf
10.3390/ijms21113925,literature,10.3390/ijms21113925,,,,2020,International Journal of Molecular Sciences,28,4,2,,Article/耐甲醇相关脂肪酶文献/人工下载/来自铜绿假单胞菌PSA01的功能性异源表达：大肠杆菌和BL21（DE3）中成熟脂肪酶LipA的功能异源表达：表达宿主对酶产生的热稳定性和溶剂耐受性的影响.pdf
10.3390/ijms24108924,literature,10.3390/ijms24108924,,,,2023,International Journal of Molecular Sciences,2,2,1,,Article/耐甲醇相关脂肪酶文献/新录入/Characterization-of-a-New-Thermostable-and-Organic-Solution-Tolerant-Lipase-from-Pseudomonas-fluorescens-and-I.pdf
10.3390/ijms242317071,literature,10.3390/ijms242317071,,,,2023,International Journal of Molecular Sciences,4,4,1,,Article/耐甲醇相关脂肪酶文献/新录入/来自脱皮链霉菌的新型脂肪酶，适用于生物技术应用.pdf
10.3390/ijms25147928,literature,10.3390/ijms25147928,,,,2024,International Journal of Molecular Sciences,6,6,1,,Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/来自南极亲热细菌Geobacillus属ID17的新型热碱性脂肪酶的重组表达与表征，其溶剂稳定性提升.pdf
10.3390/microorganisms9040802,literature,10.3390/microorganisms9040802,,,,2021,Microorganisms,4,2,2,,Article/耐甲醇相关脂肪酶文献/新录入/Deep-sea-cold-seep-bacterium-2021-two-cold-active-lipases.pdf
10.3390/molecules30030434,literature,10.3390/molecules30030434,,,,2025,Molecules,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Preparation-and-Biochemical-Characterization-of-Penicillium-crustosum-Thom-P22-Lipase-Immobilization-Using-Adsorption-Encapsulation-and-Adsorptio.pdf
10.4014/jmb.1106.06048,literature,10.4014/jmb.1106.06048,,,,2011,Journal of Microbiology and Biotechnology,6,6,1,,Article/耐甲醇相关脂肪酶文献/新录入/Photobacterium_lipolyticum_lipase_M37_JMB2011.pdf
10.4014/jmb.1408.08039,literature,10.4014/jmb.1408.08039,,,,2015,Journal of Microbiology and Biotechnology,6,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Gene-Cloning-High-Level-Expression-and-Characterization-of-an-Alkaline-and-Thermostable-Lipase-from-Trichosporon-coremii.pdf
10.4014/jmb.1506.06011,literature,10.4014/jmb.1506.06011,,,,2015,Journal of Microbiology and Biotechnology,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Characterizing-LipR-from-Pseudomonas-sp-R0-14-and-Applying-in-Enrichment-of-Polyunsaturated-Fatty-Acids-from-Algal-Oil.pdf
10.4014/jmb.1806.06032,literature,10.4014/jmb.1806.06032,,,,2018,Journal of Microbiology and Biotechnology,4,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/EstSP2-Sphingomonas-glacialis-organic-solvent-tolerant-esterase-2018.pdf
10.4014/jmb.1812.12013,literature,10.4014/jmb.1812.12013,,,,2019,Journal of Microbiology and Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Isolation-Cloning-and-Co-Expression-of-Lipase-and-Foldase-Genes-of-Burkholderia-territorii-GP3-from-Mount-Papandayan-Soil-2.pdf
10.4308/hjb.30.1.71-80,literature,10.4308/hjb.30.1.71-80,,,,2023,HAYATI Journal of Biosciences,2,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Cloning-and-Co-Expression-of-Lipase-and-its-Specific-Foldase-from-Ralstonia-pickettii-BK6.pdf
10.48048/tis.2021.45,literature,10.48048/tis.2021.45,,,,2021,Trends in Sciences,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Purification-and-Characterization-of-an-Extracellular-Lipase-Produced-by-Aspergillus-oryzae-ST11-as-a-Potential-Catalyst-for-an-Organic-Synthesis.pdf
10.48048/tis.2024.8504,literature,10.48048/tis.2024.8504,,,,2024,Trends in Sciences,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Optimization-Purification-and-Characterization-of-Lipase-from-Streptomyces-sp-A3301-with-Application-of-C.pdf
10.48048/tis.2026.13231,literature,10.48048/tis.2026.13231,,,,2026,Trends in Sciences,3,3,1,,Article/耐甲醇相关脂肪酶文献/新录入/Methanol-Tolerant-Lipase-from-Newly-Isolated-Saprochaete-clavata-17B-Production-Characterization-and-Application-in-Gree.pdf
10.5897/ajb2017.16044,literature,10.5897/ajb2017.16044,,,,2017,African Journal of Biotechnology,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Purification-and-characterization-of-thermostable-and-alcohol-tolerant-lipase-from-Pseudoxanthomonas-sp.-2.pdf
10.5897/ajmr2015.7493,literature,10.5897/ajmr2015.7493,,,,2015,African Journal of Microbiology Research,3,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Colletotrichum-gloeosporioides-lipase-Characterization-and-use-in-hydrolysis-and-esterifications.pdf
10.7717/peerj.2420,literature,10.7717/peerj.2420,,,,2016,PeerJ,1,1,1,,Article/耐甲醇相关脂肪酶文献/新录入/Expression-and-characterization-of-thermotolerant-lipase-with-broad-pH-profiles-isolated-from-an-Antarctic-Pse.pdf
CN102174422B,patent,not_applicable_patent,CN102174422B,CN102174422_family_gap20,https://patents.google.com/patent/CN102174422B/zh,2014,patent,1,1,1,,/home/lvyziyer/Analysis/Article/专利信息文件/CN102174422B_google_patents.pdf
CN103184160A,patent,not_applicable_patent,CN103184160A,CN103184160_family,https://patents.google.com/patent/CN103184160A/zh,2013,patent,9,1,1,,Article/专利信息文件/CN103184160A_google_patents.pdf
CN103865941B,patent,not_reported,CN103865941B,CN103865941_family,https://patents.google.com/patent/CN103865941B/zh,2018,patent,12,2,1,,Article/专利信息文件/CN103865941B.pdf
CN108251400B,patent,not_applicable_patent,CN108251400B,CN108251400_family,https://patents.google.com/patent/CN108251400B/en,2022,patent,9,3,3,LMT_PAGE_CALB,Article/专利信息文件/CN108251400B_google_patents.pdf
CN115369099B,patent,not_applicable_patent,CN115369099B,CN115369099B_single_family,https://patents.google.com/patent/CN115369099B/en,2023,patent,67,10,5,LMT_PAGE_RML,Article/专利信息文件/CN115369099B.pdf
CN117070495B,patent,not_applicable_patent,CN117070495B,CN117070495_family,https://patents.google.com/patent/CN117070495B/zh,2024,patent,50,10,5,LMT_PAGE_TLL,Article/专利信息文件/CN117070495B_google_patents.pdf
CN117887688A,patent,not_applicable_patent,CN117887688A,CN117887688_family,https://patents.google.com/patent/CN117887688A/zh,2024,patent,1,1,1,,Article/专利信息文件/CN117887688A_google_patents.pdf
CN119082082B,patent,not_applicable_patent,CN119082082B,CN119082082B_single_family,https://patents.google.com/patent/CN119082082B/en,2025,patent,2,2,2,LMT_PAGE_TLL,Article/专利信息文件/CN119082082B_google_patents.pdf
EP2050823A1,patent,not_applicable_patent,EP2050823A1,EP2050823_family_gap20,https://patents.google.com/patent/EP2050823A1/en,,patent,11,11,1,,/home/lvyziyer/Analysis/Article/专利信息文件/EP2050823A1.pdf
not_reported,literature,not_reported,,,,2025,JSM Enzymology and Protein Science,50,0,21,LMT_PAGE_UM1,Article/参考实验室文献/MAS1-提高脂肪酶MAS1酯化能力的理性改造及其高密度发酵的研究_肖阳.pdf; Article/参考实验室文献/MAS1-脂肪酶MAS1酯化产物积累偏好性的分子改造及其应用研究_杨阳.pdf; Article/耐甲醇相关脂肪酶文献/literature_source_count_manual/低温脂肪酶产生菌筛选与鉴定、产酶条件及酶学性质研究.pdf; Article/耐甲醇相关脂肪酶文献/人工下载/Characterization_and_solvent_stable_features_of_St.pdf; Article/耐甲醇相关脂肪酶文献/人工下载/Purification and Properties of Lipase from Pseudomonas.pdf; Article/耐甲醇相关脂肪酶文献/人工下载/来自铜绿假单胞菌FW_SH-1的有机溶剂耐受脂肪酶：纯化与特性分析.pdf; Article/耐甲醇相关脂肪酶文献/新录入/A-Cold-Adapted-Lipase-of-an-Alaskan-Psychrotroph-Pseudomonas-sp.-Strain-B11-1-Gene-Cloning-and-Enzyme-Purification-and-Characterization.pdf; Article/耐甲醇相关脂肪酶文献/新录入/An-oxidant-and-organic-solvent-tolerant-alkaline-lipase-by-P-aeruginosa-mutant-downstream-processing-and-biochemical-cha.pdf; Article/耐甲醇相关脂肪酶文献/新录入/Biodegradation-of-waste-greases-and-biochemical-properties-of-a-novel-lipase-from-i-Pseudomonas-synxantha-i-PS1.pdf; Article/耐甲醇相关脂肪酶文献/新录入/Characterization-of-low-cost-lipase-by-solid-state-fermentation-of-palm-kernel-cake-using-Candida-cylindracea.pdf; Article/耐甲醇相关脂肪酶文献/新录入/分子动力学模拟结合机器学习指导脂肪酶UM-1理性设计提高有机溶剂耐受研究_贺云楼.pdf
WO2009069116A2,patent,not_applicable_patent,WO2009069116A2,WO2009069116_family_gap20,https://patents.google.com/patent/WO2009069116A2/en,,patent,2,2,1,LMT_PAGE_CALB,/home/lvyziyer/Analysis/Article/专利信息文件/WO2009069116A2.pdf
WO2011067349A1,patent,not_applicable_patent,WO2011067349A1,google_patents_family_43618817,https://patents.google.com/patent/WO2011067349A1/en,2011,patent,33,33,33,LMT_PAGE_CALB,not_applicable_patent_source_url
WO2013022320A2,patent,not_applicable_patent,WO2013022320A2,WO2013022320_family_gap20,https://patents.google.com/patent/WO2013022320A2/en,2013,patent,1,1,1,,/home/lvyziyer/Analysis/results/2026-06-09_164017_patent_family_gap20/web_patent_source_captures.md
WO2014074352A1,patent,not_applicable_patent_layer,WO2014074352A1,google_patents_family_57631671,https://patents.google.com/patent/WO2014074352A1/en,2014,not_applicable_patent_publication,201,21,6,LMT_PAGE_BCL; LMT_PAGE_PML,Article/专利信息文件/WO2014074352A1_google_patents.pdf
WO2023282853A2,patent,not_applicable_patent_layer,WO2023282853A2,google_patents_family_WO2023282853,https://patents.google.com/patent/WO2023282853A2/en,2023,not_applicable_patent_publication,330,66,66,,Article/专利信息文件/WO2023282853A2_google_patents.pdf
